Recognisable Name, Description, Qualified Name, Target, Ordinal, ClassAccess, MethodAccess,Don't Remap
random_87,null,Lnet/minecraft/entity/EntityLivingBase;getSoundPitch()F,Ljava/util/Random;nextFloat()F,2,0x421,0x4,FALSE
random_88,null,Lnet/minecraft/entity/EntityLivingBase;getSoundPitch()F,Ljava/util/Random;nextFloat()F,3,0x421,0x4,FALSE
random_89,null,Lnet/minecraft/entity/EntityLivingBase;collideWithNearbyEntities()V,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_90,null,Lnet/minecraft/entity/EntityLivingBase;markVelocityChanged()V,Ljava/util/Random;nextDouble()D,0,0x421,0x4,FALSE
random_91,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_92,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,1,0x421,0x4,FALSE
random_93,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,2,0x421,0x4,FALSE
random_94,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,3,0x421,0x4,FALSE
random_95,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextInt(I)I,4,0x421,0x4,FALSE
random_96,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,5,0x421,0x4,FALSE
random_97,null,Lnet/minecraft/entity/EntityLivingBase;updateItemUse(Lnet/minecraft/item/ItemStack;I)V,Ljava/util/Random;nextFloat()F,6,0x421,0x4,FALSE
random_98,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextFloat()F,0,0x421,0x1,FALSE
random_99,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_100,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextFloat()F,2,0x421,0x1,FALSE
random_101,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextDouble()D,3,0x421,0x1,FALSE
random_102,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextDouble()D,4,0x421,0x1,FALSE
random_103,null,Lnet/minecraft/entity/EntityLivingBase;attemptTeleport(DDD)Z,Ljava/util/Random;nextDouble()D,5,0x421,0x1,FALSE
random_104,null,Lnet/minecraft/world/WorldServer;setInitialSpawnLocation()V,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_105,null,Lnet/minecraft/world/WorldServer;setInitialSpawnLocation()V,Ljava/util/Random;nextInt(I)I,1,0x21,0x1,FALSE
random_106,null,Lnet/minecraft/world/WorldServer;setInitialSpawnLocation()V,Ljava/util/Random;nextInt(I)I,2,0x21,0x1,FALSE
random_107,null,Lnet/minecraft/world/WorldServer;setInitialSpawnLocation()V,Ljava/util/Random;nextInt(I)I,3,0x21,0x1,FALSE
random_108,null,Lnet/minecraft/world/WorldServer;playerCheckLight()V,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_109,null,Lnet/minecraft/world/WorldServer;playerCheckLight()V,Ljava/util/Random;nextInt(I)I,1,0x21,0x4,FALSE
random_110,null,Lnet/minecraft/world/WorldServer;playerCheckLight()V,Ljava/util/Random;nextInt(I)I,2,0x21,0x4,FALSE
random_111,null,Lnet/minecraft/world/WorldServer;playerCheckLight()V,Ljava/util/Random;nextInt(I)I,3,0x21,0x4,FALSE
random_112,null,Lnet/minecraft/world/WorldServer;updateBlocks()V,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_113,null,Lnet/minecraft/world/WorldServer;updateBlocks()V,Ljava/util/Random;nextDouble()D,1,0x21,0x4,FALSE
random_114,null,Lnet/minecraft/world/WorldServer;updateBlocks()V,Ljava/util/Random;nextInt(I)I,2,0x21,0x4,FALSE
random_115,null,Lnet/minecraft/world/WorldServer;adjustPosToNearbyEntity(Lnet/minecraft/util/math/BlockPos;)Lnet/minecraft/util/math/BlockPos;,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_116,null,Lnet/minecraft/world/WorldServer;createSpawnPosition(Lnet/minecraft/world/WorldSettings;)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x2,FALSE
random_117,null,Lnet/minecraft/world/WorldServer;createSpawnPosition(Lnet/minecraft/world/WorldSettings;)V,Ljava/util/Random;nextInt(I)I,1,0x21,0x2,FALSE
random_118,null,Lnet/minecraft/world/WorldServer;createSpawnPosition(Lnet/minecraft/world/WorldSettings;)V,Ljava/util/Random;nextInt(I)I,2,0x21,0x2,FALSE
random_119,null,Lnet/minecraft/world/WorldServer;createSpawnPosition(Lnet/minecraft/world/WorldSettings;)V,Ljava/util/Random;nextInt(I)I,3,0x21,0x2,FALSE
random_120,null,Lnet/minecraft/world/WorldServer;createBonusChest()V,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_121,null,Lnet/minecraft/world/WorldServer;createBonusChest()V,Ljava/util/Random;nextInt(I)I,1,0x21,0x4,FALSE
random_122,null,Lnet/minecraft/world/WorldServer;createBonusChest()V,Ljava/util/Random;nextInt(I)I,2,0x21,0x4,FALSE
random_123,null,Lnet/minecraft/world/WorldServer;createBonusChest()V,Ljava/util/Random;nextInt(I)I,3,0x21,0x4,FALSE
random_124,null,Lnet/minecraft/util/registry/RegistrySimple;getRandomObject(Ljava/util/Random;)Ljava/lang/Object;,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_125,null,Lnet/minecraft/entity/EntityLiving;onEntityUpdate()V,Ljava/util/Random;nextInt(I)I,0,0x421,0x1,FALSE
random_126,null,Lnet/minecraft/entity/EntityLiving;getExperiencePoints(Lnet/minecraft/entity/player/EntityPlayer;)I,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_127,null,Lnet/minecraft/entity/EntityLiving;getExperiencePoints(Lnet/minecraft/entity/player/EntityPlayer;)I,Ljava/util/Random;nextInt(I)I,1,0x421,0x4,FALSE
random_128,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextGaussian()D,0,0x421,0x1,FALSE
random_129,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextGaussian()D,1,0x421,0x1,FALSE
random_130,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextGaussian()D,2,0x421,0x1,FALSE
random_131,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextFloat()F,3,0x421,0x1,FALSE
random_132,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextFloat()F,4,0x421,0x1,FALSE
random_133,null,Lnet/minecraft/entity/EntityLiving;spawnExplosionParticle()V,Ljava/util/Random;nextFloat()F,5,0x421,0x1,FALSE
random_134,null,Lnet/minecraft/entity/EntityLiving;dropFewItems(ZI)V,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_135,null,Lnet/minecraft/entity/EntityLiving;dropFewItems(ZI)V,Ljava/util/Random;nextInt(I)I,1,0x421,0x4,FALSE
random_136,null,Lnet/minecraft/entity/EntityLiving;updateEquipmentIfNeeded(Lnet/minecraft/entity/item/EntityItem;)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_137,null,Lnet/minecraft/entity/EntityLiving;despawnEntity()V,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
random_138,null,Lnet/minecraft/entity/EntityLiving;dropEquipment(ZI)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_139,null,Lnet/minecraft/entity/EntityLiving;dropEquipment(ZI)V,Ljava/util/Random;nextInt(I)I,1,0x421,0x4,FALSE
random_140,null,Lnet/minecraft/entity/EntityLiving;dropEquipment(ZI)V,Ljava/util/Random;nextInt(I)I,2,0x421,0x4,FALSE
random_141,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_142,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextInt(I)I,1,0x421,0x4,FALSE
random_143,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,2,0x421,0x4,FALSE
random_144,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,3,0x421,0x4,FALSE
random_145,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,4,0x421,0x4,FALSE
random_146,null,Lnet/minecraft/entity/EntityLiving;setEquipmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,5,0x421,0x4,FALSE
random_147,null,Lnet/minecraft/entity/EntityLiving;setEnchantmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,0,0x421,0x4,FALSE
random_148,null,Lnet/minecraft/entity/EntityLiving;setEnchantmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextInt(I)I,1,0x421,0x4,FALSE
random_149,null,Lnet/minecraft/entity/EntityLiving;setEnchantmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextFloat()F,2,0x421,0x4,FALSE
random_150,null,Lnet/minecraft/entity/EntityLiving;setEnchantmentBasedOnDifficulty(Lnet/minecraft/world/DifficultyInstance;)V,Ljava/util/Random;nextInt(I)I,3,0x421,0x4,FALSE
random_151,null,Lnet/minecraft/entity/EntityLiving;onInitialSpawn(Lnet/minecraft/world/DifficultyInstance;Lnet/minecraft/entity/IEntityLivingData;)Lnet/minecraft/entity/IEntityLivingData;,Ljava/util/Random;nextGaussian()D,0,0x421,0x1,FALSE
random_152,null,Lnet/minecraft/entity/EntityLiving;onInitialSpawn(Lnet/minecraft/world/DifficultyInstance;Lnet/minecraft/entity/IEntityLivingData;)Lnet/minecraft/entity/IEntityLivingData;,Ljava/util/Random;nextFloat()F,1,0x421,0x1,FALSE
random_153,null,Lnet/minecraft/entity/passive/EntityHorse;playGallopSound(Lnet/minecraft/block/SoundType;)V,Ljava/util/Random;nextInt(I)I,0,0x21,0x4,FALSE
random_154,null,Lnet/minecraft/entity/passive/EntityHorse;createChild(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_155,null,Lnet/minecraft/entity/passive/EntityHorse;createChild(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;,Ljava/util/Random;nextInt(I)I,1,0x21,0x1,FALSE
random_156,null,Lnet/minecraft/entity/passive/EntityHorse;createChild(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;,Ljava/util/Random;nextInt(I)I,2,0x21,0x1,FALSE
random_157,null,Lnet/minecraft/entity/passive/EntityHorse;createChild(Lnet/minecraft/entity/EntityAgeable;)Lnet/minecraft/entity/EntityAgeable;,Ljava/util/Random;nextInt(I)I,3,0x21,0x1,FALSE
random_158,null,Lnet/minecraft/entity/passive/EntityHorse;onInitialSpawn(Lnet/minecraft/world/DifficultyInstance;Lnet/minecraft/entity/IEntityLivingData;)Lnet/minecraft/entity/IEntityLivingData;,Ljava/util/Random;nextInt(I)I,0,0x21,0x1,FALSE
random_159,null,Lnet/minecraft/entity/passive/EntityHorse;onInitialSpawn(Lnet/minecraft/world/DifficultyInstance;Lnet/minecraft/entity/IEntityLivingData;)Lnet/minecraft/entity/IEntityLivingData;,Ljava/util/Random;nextInt(I)I,1,0x21,0x1,FALSE
random_160,null,Lnet/minecraft/entity/passive/AbstractHorse;eatingHorse()V,Ljava/util/Random;nextFloat()F,0,0x421,0x2,FALSE
random_161,null,Lnet/minecraft/entity/passive/AbstractHorse;eatingHorse()V,Ljava/util/Random;nextFloat()F,1,0x421,0x2,FALSE
random_162,null,Lnet/minecraft/entity/passive/AbstractHorse;getHurtSound(Lnet/minecraft/util/DamageSource;)Lnet/minecraft/util/SoundEvent;,Ljava/util/Random;nextInt(I)I,0,0x421,0x4,FALSE
