Recognisable Name	 Description	 Qualified Name	 Target	 Ordinal	 ClassAccess	 MethodAccess	Don't Remap	Don't change	IsClient?	Static
pointlessness	WHY IS THIS HEEEEERRRREEEEE ITS SO FUCKING USELESS AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	Lnet/minecraft/block/BlockChorusFlower;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	TRUE	FALSE	FALSE
chorusGrowHeight	Chance for chorus fruit to grow in height	Lnet/minecraft/block/BlockChorusFlower;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	1	0x21	0x1	FALSE	FALSE	FALSE	FALSE
chorusGrowSomething	Something about chorus growing	Lnet/minecraft/block/BlockChorusFlower;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	2	0x21	0x1	FALSE	FALSE	FALSE	FALSE
chorusQuantityDropped	How many chorus fruit drops when broken	Lnet/minecraft/block/BlockChorusPlant;quantityDropped(Ljava/util/Random;)I	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
cocoaGrow	Chance for cocoa to grow	Lnet/minecraft/block/BlockCocoa;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
cropDrop	Chance for a crop to drop + quantity	Lnet/minecraft/block/BlockCrops;getDrops(Lnet/minecraft/util/NonNullList;Lnet/minecraft/world/IBlockAccess;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;I)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	TRUE	FALSE	FALSE	FALSE
cropGrow	Chance for a crop to grow	Lnet/minecraft/block/BlockCrops;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
deadBushDrop	Quantity of dead bush drop	Lnet/minecraft/block/BlockDeadBush;quantityDropped(Ljava/util/Random;)I	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
seedFromDoublePlant	If a seed is dropped from a double grass	Lnet/minecraft/block/BlockDoublePlant;getItemDropped(Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;I)Lnet/minecraft/item/Item;	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	1	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	2	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	3	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	4	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextInt(I)I	5	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextDouble()D	0	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextDouble()D	1	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextDouble()D	2	0x21	0x2	FALSE	FALSE	FALSE	FALSE
dragoneggTeleportPos	The position of the dragon egg after the player interacts with it	Lnet/minecraft/block/BlockDragonEgg;teleport(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;)V	Ljava/util/Random;nextDouble()D	3	0x21	0x2	FALSE	FALSE	FALSE	FALSE
lavaFlow	If lava should spread	Lnet/minecraft/block/BlockDynamicLiquid;updateTick(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
enchantementTableParticleChance	If enchantement table particle spawns	Lnet/minecraft/block/BlockEnchantmentTable;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enchantementTableParticlePosX	Get the X of the enchantment table particle	Lnet/minecraft/block/BlockEnchantmentTable;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enchantementTableParticlePosY	Get the Y of the enchantment table particle	Lnet/minecraft/block/BlockEnchantmentTable;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enchantementTableParticlePosZ	Get the Z of the enchantment table particle	Lnet/minecraft/block/BlockEnchantmentTable;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
enderChestParticlePos	Where the ender chest particle spawns	Lnet/minecraft/block/BlockEnderChest;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	3	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	3	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	4	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	5	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextBoolean()Z	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	6	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endGatewayParticlePos	Where the end gateway particle spawns	Lnet/minecraft/block/BlockEndGateway;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	7	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endPortalParticlePosX	Get the X of the end portal particle	Lnet/minecraft/block/BlockEndPortal;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endPortalParticlePosZ	Get the X of the end portal particle	Lnet/minecraft/block/BlockEndPortal;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	3	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	4	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePosChance	Chance for the end rod particle to spawn	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextGaussian()D	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextGaussian()D	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
endRodParticlePos	Where the end rod particle spawns	Lnet/minecraft/block/BlockEndRod;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextGaussian()D	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fallingBlockParticleActivate	Chance of a falling block particle	Lnet/minecraft/block/BlockFalling;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fallingBlockParticlePos	Position of falling block particle	Lnet/minecraft/block/BlockFalling;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fallingBlockParticlePos	Position of falling block particle	Lnet/minecraft/block/BlockFalling;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireSpreading	Chance whether fire can spread	Lnet/minecraft/block/BlockFire;onBlockAdded(Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Lnet/minecraft/block/state/IBlockState;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	FALSE	FALSE
fireSoundChance	Chance if fire makes a sound	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextInt(I)I	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireSound	Something about fire sound	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireSound	Something about fire sound	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextFloat()F	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosX	Get the X of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	0	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosY	Get the Y of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	1	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosZ	Get the Z of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	2	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosX	Get the X of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	3	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosY	Get the Y of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	4	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosZ	Get the Z of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	5	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosX	Get the X of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	6	0x21	0x1	FALSE	FALSE	TRUE	FALSE
fireParticlePosY	Get the Y of a fire particle	Lnet/minecraft/block/BlockFire;randomDisplayTick(Lnet/minecraft/block/state/IBlockState;Lnet/minecraft/world/World;Lnet/minecraft/util/math/BlockPos;Ljava/util/Random;)V	Ljava/util/Random;nextDouble()D	7	0x21	0x1	FALSE	FALSE	TRUE	FALSE
